"Pickup_DateTime","rideshare_app","count"
"2018-03-01","Lyft",4346
"2018-03-01","Uber",19653
"2018-03-01","Via",2906
"2018-03-02","Lyft",5093
"2018-03-02","Uber",23883
"2018-03-02","Via",2822
"2018-03-03","Lyft",4502
"2018-03-03","Uber",17127
"2018-03-03","Via",1342
"2018-03-04","Lyft",4394
"2018-03-04","Uber",14841
"2018-03-04","Via",1163
"2018-03-05","Lyft",3561
"2018-03-05","Uber",15577
"2018-03-05","Via",2658
"2018-03-06","Lyft",3841
"2018-03-06","Uber",17176
"2018-03-06","Via",2895
"2018-03-07","Lyft",3799
"2018-03-07","Uber",17516
"2018-03-07","Via",2456
"2018-03-08","Lyft",4111
"2018-03-08","Uber",18595
"2018-03-08","Via",2920
"2018-03-09","Lyft",4005
"2018-03-09","Uber",18223
"2018-03-09","Via",2781
"2018-03-10","Lyft",4883
"2018-03-10","Uber",17477
"2018-03-10","Via",1504
"2018-03-11","Lyft",3955
"2018-03-11","Uber",13833
"2018-03-11","Via",1122
"2018-03-12","Lyft",3407
"2018-03-12","Uber",15831
"2018-03-12","Via",2785
"2018-03-13","Lyft",3959
"2018-03-13","Uber",18315
"2018-03-13","Via",2836
"2018-03-14","Lyft",4037
"2018-03-14","Uber",18981
"2018-03-14","Via",2945
"2018-03-15","Lyft",4171
"2018-03-15","Uber",20365
"2018-03-15","Via",2905
"2018-03-16","Lyft",4475
"2018-03-16","Uber",19259
"2018-03-16","Via",2764
"2018-03-17","Lyft",5000
"2018-03-17","Uber",18091
"2018-03-17","Via",1290
"2018-03-18","Lyft",3911
"2018-03-18","Uber",13505
"2018-03-18","Via",1092
"2018-03-19","Lyft",3313
"2018-03-19","Uber",14481
"2018-03-19","Via",2527
"2018-03-20","Lyft",3857
"2018-03-20","Uber",18006
"2018-03-20","Via",3101
"2018-03-21","Lyft",3224
"2018-03-21","Uber",14771
"2018-03-21","Via",1965
"2018-03-22","Lyft",3870
"2018-03-22","Uber",17783
"2018-03-22","Via",2712
"2018-03-23","Lyft",3904
"2018-03-23","Uber",17183
"2018-03-23","Via",2586
"2018-03-24","Lyft",4384
"2018-03-24","Uber",15608
"2018-03-24","Via",1261
"2018-03-25","Lyft",3838
"2018-03-25","Uber",13768
"2018-03-25","Via",1118
"2018-03-26","Lyft",3392
"2018-03-26","Uber",14737
"2018-03-26","Via",2461
"2018-03-27","Lyft",3330
"2018-03-27","Uber",17009
"2018-03-27","Via",2534
"2018-03-28","Lyft",3755
"2018-03-28","Uber",18100
"2018-03-28","Via",2625
"2018-03-29","Lyft",4214
"2018-03-29","Uber",18600
"2018-03-29","Via",2620
"2018-03-30","Lyft",4340
"2018-03-30","Uber",17158
"2018-03-30","Via",1865
"2018-03-31","Lyft",4397
"2018-03-31","Uber",14900
"2018-03-31","Via",1041
