"tripduration","starttime","stoptime","start station name","end station name"
439,"2018-03-01 06:08:50.9270","2018-03-01 06:16:10.2370","Broadway & W 41 St","Broadway & W 58 St"
187,"2018-03-01 06:47:11.7180","2018-03-01 06:50:19.6710","Broadway & W 41 St","Broadway & W 51 St"
336,"2018-03-01 06:53:02.9020","2018-03-01 06:58:39.8970","Broadway & W 41 St","W 52 St & 6 Ave"
488,"2018-03-01 06:55:13.9730","2018-03-01 07:03:22.3650","Broadway & W 41 St","12 Ave & W 40 St"
494,"2018-03-01 07:02:36.4300","2018-03-01 07:10:51.2320","Broadway & W 41 St","E 51 St & Lexington Ave"
811,"2018-03-01 07:10:07.8450","2018-03-01 07:23:39.0190","Broadway & W 41 St","MacDougal St & Washington Sq"
2091,"2018-03-01 07:10:34.5090","2018-03-01 07:45:25.6530","Broadway & W 41 St","Murray St & West St"
349,"2018-03-01 07:18:53.4950","2018-03-01 07:24:43.0150","Broadway & W 41 St","W 55 St & 6 Ave"
358,"2018-03-01 07:19:11.8500","2018-03-01 07:25:10.1490","Broadway & W 41 St","Pershing Square South"
226,"2018-03-01 07:24:48.0250","2018-03-01 07:28:34.6690","Broadway & W 41 St","E 48 St & 5 Ave"
557,"2018-03-01 07:30:22.9720","2018-03-01 07:39:40.3110","Broadway & W 41 St","W 44 St & 5 Ave"
594,"2018-03-01 07:42:59.5340","2018-03-01 07:52:54.4260","Broadway & W 41 St","E 39 St & 2 Ave"
423,"2018-03-01 07:44:42.1170","2018-03-01 07:51:45.9570","Broadway & W 41 St","1 Ave & E 44 St"
655,"2018-03-01 07:48:14.8320","2018-03-01 07:59:10.3550","Broadway & W 41 St","E 17 St & Broadway"
368,"2018-03-01 07:48:47.4590","2018-03-01 07:54:56.3470","Broadway & W 41 St","Broadway & W 25 St"
418,"2018-03-01 07:55:16.9960","2018-03-01 08:02:15.2230","Broadway & W 41 St","W 52 St & 5 Ave"
394,"2018-03-01 07:56:59.5090","2018-03-01 08:03:34.3450","Broadway & W 41 St","W 55 St & 6 Ave"
422,"2018-03-01 08:04:15.6610","2018-03-01 08:11:18.6370","Broadway & W 41 St","E 30 St & Park Ave S"
644,"2018-03-01 08:07:30.4210","2018-03-01 08:18:14.6980","Broadway & W 41 St","E 44 St & 2 Ave"
618,"2018-03-01 08:07:38.6530","2018-03-01 08:17:57.0470","Broadway & W 41 St","E 53 St & 3 Ave"
384,"2018-03-01 08:09:31.8380","2018-03-01 08:15:56.1250","Broadway & W 41 St","E 47 St & 2 Ave"
767,"2018-03-01 08:11:06.5280","2018-03-01 08:23:53.7380","Broadway & W 41 St","E 15 St & 3 Ave"
1166,"2018-03-01 08:14:13.8990","2018-03-01 08:33:40.7520","Broadway & W 41 St","1 Ave & E 18 St"
498,"2018-03-01 08:16:06.1690","2018-03-01 08:24:24.7770","Broadway & W 41 St","E 47 St & 2 Ave"
349,"2018-03-01 08:16:28.5000","2018-03-01 08:22:17.6150","Broadway & W 41 St","E 47 St & Park Ave"
1855,"2018-03-01 08:18:50.4080","2018-03-01 08:49:46.1500","Broadway & W 41 St","Berry St & N 8 St"
211,"2018-03-01 08:19:04.5950","2018-03-01 08:22:36.0140","Broadway & W 41 St","Pershing Square North"
530,"2018-03-01 08:22:31.0460","2018-03-01 08:31:21.3410","Broadway & W 41 St","1 Ave & E 44 St"
315,"2018-03-01 08:24:02.3240","2018-03-01 08:29:17.4380","Broadway & W 41 St","5 Ave & E 29 St"
329,"2018-03-01 08:25:31.0960","2018-03-01 08:31:00.4020","Broadway & W 41 St","Pershing Square North"
377,"2018-03-01 08:31:12.5640","2018-03-01 08:37:30.3970","Broadway & W 41 St","E 45 St & 3 Ave"
405,"2018-03-01 08:32:42.4670","2018-03-01 08:39:27.7030","Broadway & W 41 St","E 47 St & Park Ave"
274,"2018-03-01 08:33:21.7100","2018-03-01 08:37:56.6690","Broadway & W 41 St","Pershing Square South"
703,"2018-03-01 08:33:59.9140","2018-03-01 08:45:43.2770","Broadway & W 41 St","E 59 St & Madison Ave"
407,"2018-03-01 08:35:52.7850","2018-03-01 08:42:39.8620","Broadway & W 41 St","E 41 St & Madison Ave"
519,"2018-03-01 08:36:24.1770","2018-03-01 08:45:03.5050","Broadway & W 41 St","W 52 St & 5 Ave"
594,"2018-03-01 08:36:25.1250","2018-03-01 08:46:20.0980","Broadway & W 41 St","E 58 St & Madison Ave"
280,"2018-03-01 08:37:17.3910","2018-03-01 08:41:57.8470","Broadway & W 41 St","E 33 St & 5 Ave"
453,"2018-03-01 08:38:36.4210","2018-03-01 08:46:09.8410","Broadway & W 41 St","12 Ave & W 40 St"
352,"2018-03-01 08:38:36.6970","2018-03-01 08:44:28.7270","Broadway & W 41 St","Pershing Square South"
448,"2018-03-01 08:40:27.2950","2018-03-01 08:47:56.2010","Broadway & W 41 St","E 16 St & 5 Ave"
366,"2018-03-01 08:40:40.2640","2018-03-01 08:46:46.6400","Broadway & W 41 St","E 48 St & 5 Ave"
441,"2018-03-01 08:41:41.5270","2018-03-01 08:49:02.6110","Broadway & W 41 St","E 30 St & Park Ave S"
313,"2018-03-01 08:43:55.9000","2018-03-01 08:49:09.5260","Broadway & W 41 St","Pershing Square North"
743,"2018-03-01 08:44:22.3080","2018-03-01 08:56:46.1190","Broadway & W 41 St","E 45 St & 3 Ave"
246,"2018-03-01 08:49:03.5820","2018-03-01 08:53:10.1040","Broadway & W 41 St","W 44 St & 5 Ave"
438,"2018-03-01 08:50:59.9790","2018-03-01 08:58:18.8410","Broadway & W 41 St","E 24 St & Park Ave S"
689,"2018-03-01 08:51:48.0070","2018-03-01 09:03:17.0650","Broadway & W 41 St","E 59 St & Madison Ave"
644,"2018-03-01 08:53:29.1290","2018-03-01 09:04:13.5450","Broadway & W 41 St","E 59 St & Madison Ave"
816,"2018-03-01 08:54:54.7240","2018-03-01 09:08:31.5670","Broadway & W 41 St","Lafayette St & E 8 St"
199,"2018-03-01 08:55:48.1690","2018-03-01 08:59:07.7200","Broadway & W 41 St","W 33 St & 7 Ave"
220,"2018-03-01 08:56:28.7280","2018-03-01 09:00:09.6120","Broadway & W 41 St","Pershing Square South"
591,"2018-03-01 08:56:31.3900","2018-03-01 09:06:22.9020","Broadway & W 41 St","Broadway & E 22 St"
231,"2018-03-01 08:57:51.6620","2018-03-01 09:01:43.2580","Broadway & W 41 St","Pershing Square North"
220,"2018-03-01 08:58:14.4550","2018-03-01 09:01:54.5790","Broadway & W 41 St","E 41 St & Madison Ave"
444,"2018-03-01 08:59:25.3540","2018-03-01 09:06:49.8230","Broadway & W 41 St","E 30 St & Park Ave S"
