"tpep_pickup_datetime","count"
2018-03-01,43206
2018-03-02,44120
2018-03-03,32801
2018-03-04,29200
2018-03-05,37895
2018-03-06,41864
2018-03-07,33051
2018-03-08,42032
2018-03-09,41057
2018-03-10,35253
2018-03-11,28530
2018-03-12,39445
2018-03-13,43410
2018-03-14,46432
2018-03-15,45684
2018-03-16,42935
2018-03-17,35456
2018-03-18,28151
2018-03-19,36969
2018-03-20,45472
2018-03-21,29556
2018-03-22,41577
2018-03-23,40771
2018-03-24,31015
2018-03-25,27642
2018-03-26,38112
2018-03-27,40673
2018-03-28,44578
2018-03-29,44492
2018-03-30,36364
2018-03-31,30696
2018-04-01,377
